id,gender
nm0668044,1
nm0103470,1
nm2794212,1
nm0307491,1
nm0397580,1
nm0943936,1
nm0223521,1
nm0156124,1
nm0356004,1
nm0886870,1
nm2102815,1
nm0352495,1
nm0935659,1
nm0250046,1
nm0420898,1
nm0413946,1
nm0641929,1
nm0171873,1
nm0925943,1
nm0189278,1
nm0005098,1
nm0043552,1
nm0308249,1
nm0151334,1
nm0832314,1
nm0621197,1
nm0359577,1
nm0861200,1
nm0831440,1
nm7165060,1
nm0595321,1
nm0192980,1
nm0706505,1
nm0411814,1
nm3994407,1
nm0000718,1
nm0496441,1
nm0199984,1
nm0042380,1
nm0278767,1
nm0764346,1
nm0833865,1
nm0528539,1
nm0113902,1
nm0414554,1
nm0218727,1
nm0001446,1
nm0395448,1
nm0167509,1
nm0506784,1
nm0802309,1
nm0274037,1
nm0109259,1
nm0950757,1
nm0946962,1
nm0162242,1
nm0827263,1
nm0571435,1
nm0403628,1
nm0477517,1
nm10487217,1
nm0058290,1
nm0499191,1
nm0336414,1
nm0586515,1
nm0004988,1
nm0821739,1
nm0488267,1
nm0714534,1
nm0345925,1
nm2020015,1
nm0706368,1
nm0749363,1
nm0222313,1
nm0001652,1
nm0005153,1
nm0000352,1
nm13055562,1
nm0412322,1
nm0670481,1
nm0005023,1
nm0370221,1
nm0001574,1
nm0664207,1
nm0916067,1
nm5189784,1
nm0327150,1
nm0397212,1
nm0001617,1
nm0000760,1
nm0625651,1
nm0132955,1
nm0226820,1
nm0000633,1
nm0352905,1
nm0000507,1
nm0070718,1
nm0000822,1
nm1717152,1
nm0628806,1
nm0031881,1
nm0384916,1
nm0001757,1
nm0913738,1
nm2437642,1
nm0752278,1
nm0624458,1
nm0379621,1
nm0000114,1
nm0000686,1
nm0869981,1
nm0081510,1
nm0593775,1
nm0289183,1
nm0662160,1
nm0920460,1
nm0071275,1
nm0896735,1
nm0803889,1
nm0838935,1
nm2353862,1
nm2089090,1
nm0087926,1
nm5789377,1
nm0122168,1
nm0086780,1
nm4362661,1
nm0158626,1
nm0001651,1
nm0931977,1
nm0411770,1
nm0729157,1
nm0498876,1
nm1710309,1
nm2125078,1
nm0243233,1
nm0493365,1
nm0879886,1
nm1360648,1
nm0696193,1
nm0691727,1
nm0021357,1
nm0641729,1
nm0638276,1
nm3314150,1
nm0094312,1
nm0001367,1
nm5145655,1
nm1652433,1
nm0197647,1
nm0861000,1
nm0848993,1
nm0115230,1
nm0612621,1
nm0734442,1
nm0363104,1
nm0649927,1
nm0751032,1
nm0003339,1
nm0706022,1
nm0720979,1
nm0005113,1
nm3836977,1
nm0109895,1
nm0431837,1
nm0120309,1
nm1276196,1
nm1459109,1
nm0346315,1
nm0138885,1
nm0369318,1
nm0292140,1
nm0000955,1
nm0163429,1
nm0596261,1
nm0549992,1
nm4188433,1
nm0579663,1
nm0721031,1
nm0000177,1
nm0009716,1
nm0001204,1
nm0045128,1
nm0650293,1
nm0001924,1
nm0342106,1
nm0613407,1
nm0363157,1
nm0402360,1
nm0595907,1
nm1741002,1
nm0915618,1
nm0423083,1
nm0668994,1
nm0113595,1
nm0408172,1
nm1361251,1
